,alan jackson,chicago,bon jovi,ed sheeran,willie nelson,dj khaled,eric church,demi lovato,enya,shania twain,bob dylan,john denver,luther vandross,kendrick lamar,john mellencamp,lil nas x,miley cyrus,jay-z,post malone,fleetwood mac,miranda lambert,rihanna,2 pac,michael jackson,the beatles,polo g,phil collins,drake,fall out boy,harry styles,led zeppelin,a boogie wit da hoodie,foreigner,g-eazy,bee gees,simon & garfunkel,thomas rhett,ariana grande,motley crue,boston,kenny rogers,hootie & the blowfish,pearl jam,wiz khalifa,kodak black,michael bolton,jason aldean,meek mill,pink floyd,ac/dc,sam hunt,nicki minaj,mariah carey,mannheim steamroller,blake shelton,james taylor,future,the doors,tom petty & the heartbreakers,kanye west,jason derulo,bryson tiller,lil uzi vert,rae sremmurd,the chicks,cardi b,barry manilow,sam smith,florida georgia line,aerosmith,britney spears,bruno mars,santana,journey,carrie underwood,flo rida,linda ronstadt,the rolling stones,nirvana,meghan trainor,eric clapton,eagles,lil baby,bob seger & the silver bullet band,pitbull,u2,faith hill,zac brown band,elton john,metallica,dave matthews band,shawn mendes,reba mc entire,boyz ii men,kenny chesney,rush,maroon 5,queen,luke bryan,logic,lynyrd skynyrd,tim mcgraw,xxxtentacion,halsey,barbra streisand,steve miller band,the weeknd,whitney houston,lady gaga,n sync,morgan wallen,dababy,billy joel,train,madonna,travis scott,katy perry,billie eilish,backstreet boys,def leppard,chris brown,imagine dragons,big sean,kane brown,garth brooks,elvis presley,panic! at the disco,janet jackson,r. kelly,keith urban,creedence clearwater revival,guns n' roses,adele,alicia keys,alabama,ozzy osbourne,justin bieber,neil diamond,celine dion,taylor swift,beyonce,rod stewart,red hot chili peppers,lil wayne,kesha,lana del rey,jeremih,j. cole,twenty one pilots,khalid,george strait,linkin park,bruce springsteen,van halen,the chainsmokers,john mayer,frank sinatra,eminem,juice wrld
01/01/1979,0,639926.71,0,0,1963998.82,0,0,0,0,0,398040.21,1835610.87,0,0,0,0,0,0,0,766655.64,0,0,0,1695987.654,564837.44,0,0,0,0,0,645551.64,0,1210322.3,0,6342948.72,326739.93,0,0,0,551706.827,3179236.196,0,0,0,0,0,0,0,363412.218,563596.4912,0,0,0,0,0,374850.642,0,92137.238,192401.9608,0,0,0,0,0,0,0,1287568.41,54044.751,0,754261.833,0,0,316926.81,944484.191,0,0,610150.012,611610.15,0,0,222002.263,826381.64,0,727455.549,0,0,0,0,1051986.61,0,0,0,0,0,0,493594.166,0,727851.423,0,0,535557.659,0,0,0,2911514.65,290648.325,0,0,0,0,0,0,1013231.082,0,0,0,0,0,0,0,0,0,0,0,0,185919.13,0,0,0,0,184826.13,0,0,0,0,0,0,600534.05,0,0,0,2837206.179,0,0,0,0,0,0,0,0,0,0,415460.409,1566869.919,0,0,95613.56,0,0
01/01/1980,0,461554.05,0,0,3180597.92,0,0,0,0,0,1018877.53,1008933.38,0,0,0,0,0,0,0,3349818.12,0,0,0,1228424.145,1049626.26,0,0,0,0,0,1864973.29,0,1400418.844,0,1359149.82,1698009.03,0,0,0,1025225.903,5279149.181,0,0,0,0,0,0,0,3693018.973,4046603.052,0,0,0,0,0,774106.976,0,1352536.189,1049917.596,0,0,0,0,0,0,0,1802554.77,100430.292,0,1415171.536,0,0,588938.84,1904285.32,0,0,1585466.432,1583937.63,0,0,583286.199,4845384.21,0,1925014.131,0,0,0,0,2617195.82,0,0,0,0,0,0,627295.184,0,2382987.065,0,0,3634528.686,0,0,0,6579301.37,540106.043,0,0,0,0,0,0,6001083.249,0,0,0,0,0,0,0,0,0,0,0,0,345489.84,0,0,0,0,343458.76,0,0,0,0,0,0,2840034.43,0,0,0,1547875.11,0,0,0,0,0,0,0,0,0,0,762285.6,2571697.155,0,0,440618.394,0,0
01/01/1981,0,360225.73,0,0,2564879.513,0,0,0,0,0,235684.83,1887948.71,551851.8519,0,0,0,0,0,0,2830879.63,0,0,0,338955.128,819194.17,0,683850.9317,0,0,0,1460937.32,0,2851392.858,0,582425.6,831519.94,0,0,0,800150.603,3626115.35,0,0,0,0,0,0,0,1243052.14,5584961.218,0,0,0,0,0,343139.744,0,1373386.5,1229430.077,0,0,0,0,0,0,0,1575200.47,78382.1,0,453512.45,0,0,296796.82,4269766.797,0,0,548373.04,3304016.71,0,0,293493.525,2265601.7,0,1907594.614,0,0,0,0,605022.46,0,0,0,0,0,0,2553317.911,0,1660392.888,0,0,423634.21,0,0,0,3191418.09,433458.667,0,0,0,0,0,0,3435996.2,0,0,0,0,0,0,0,0,0,0,0,0,269641.94,0,0,0,0,268056.76,0,0,0,2576825.397,1135294.118,0,2741828.43,0,0,0,2113500.76,0,0,0,0,0,0,0,0,0,0,428314.321,2413136.857,0,0,417144.439,0,0
01/01/1982,0,2417818.47,0,0,3286921.94,0,0,0,0,0,238168.99,917621.9,737876.1574,0,2819940.476,0,0,0,0,2428509.84,0,0,0,342527.778,1671638.82,0,317598.3436,0,0,0,1476335.87,0,3276244.69,0,588564.48,449539.32,0,0,0,808584.338,2771120.06,0,0,0,0,0,0,0,2159796.28,1393515.17,0,0,0,0,0,213299.86,0,533740.72,532638.889,0,0,0,0,0,0,0,1077584.52,79208.261,0,288312.04,0,0,155320.24,2284449.019,0,0,672379.31,1698075.93,0,0,95366.38,2254512.11,0,2337129.265,0,0,0,0,715735.11,0,0,0,0,0,0,1793541.401,0,1626283.23,0,0,252938.79,0,0,0,1749828.85,4041823.967,0,0,0,0,0,0,3935125.59,0,0,0,0,0,0,589743.5897,0,0,0,0,0,272484.02,0,0,0,0,565755.33,0,0,0,2889503.968,1550728.486,0,4935546.42,0,0,0,1574861.15,0,0,0,0,0,0,0,0,0,0,444540.318,2144999.997,0,0,49984.28,0,0
01/01/1983,0,592854.93,0,0,4333720.8,0,0,0,0,0,204333.39,682123.08,813085.937,0,974117.772,0,0,0,0,1655371.09,0,0,0,19775922.51,1788392.08,0,575330.894,0,0,0,2101562.54,0,1811197.57,0,608997.14,240302.95,0,0,0,693712.35,9080861.23,0,0,0,0,0,0,0,1788565.5,960358.96,0,0,0,0,0,182997.3,0,457914.54,141224.022,0,0,0,0,0,0,0,1425290.16,67955.495,0,247352.84,0,0,133254.58,2458193.97,0,0,2012501.58,3036566.43,0,0,81818.101,458861.47,0,1189265.98,0,861201.2987,0,0,967486.17,0,0,0,0,0,0,810486.455,0,613345.99,0,0,217004.9,0,0,0,1345281.61,143142.63,0,0,0,0,0,0,4406833.71,0,0,0,0,0,0,4874351.839,0,0,0,0,0,6605290.81,0,0,0,0,547906.58,0,0,0,2347775.216,825974.348,0,813427.54,0,0,0,408581.09,0,0,0,0,0,0,0,0,0,0,885110.415,1096726.19,0,0,42883.23,0,0
01/01/1984,0,3149665.88,0,0,4253752.79,0,0,0,0,0,137017.74,61916.17,721102.151,0,1683037.932,0,0,0,0,1537718.43,0,0,0,5055305.59,1463377.8,0,522436.225,0,0,0,2436286.11,0,3126324.68,0,840333.46,278129.75,0,0,4439062.5,802911.65,3818481.78,0,0,0,0,0,0,0,1568732.74,2115466.52,0,0,0,0,0,342637.29,0,529996.21,304193.831,0,0,0,0,0,0,0,1344916.88,78652.57,0,372566.65,0,0,154230.57,2618192.73,0,0,2396595.72,2025123.32,0,0,94697.328,467153.23,0,1010641.76,0,1207224.026,0,0,1727171.44,0,0,0,0,0,0,1149654.113,0,394825.45,0,0,251164.27,0,0,0,3419507.35,165675.12,0,0,0,0,0,0,3996310.72,0,2291666.667,0,0,0,0,2249761.996,0,0,0,0,0,899218.73,0,0,0,0,634154.16,0,0,0,4510682.205,784418.72,0,1795034.93,0,0,0,875442.46,0,0,0,0,0,0,0,0,604015.5945,0,4149860.418,7122099.65,0,0,49633.6,0,0
01/01/1985,0,2810178.53,931122.449,0,824014.75,0,0,0,0,0,150069.71,76642.26,1607707.206,0,2476816.77,0,0,0,0,360843.94,0,0,0,894904.51,500385.2,0,6020869.236,0,0,0,866203.06,0,4746638.11,0,77882.02,344279.89,0,0,-202716.201,993875.5,2602492.77,0,0,0,0,0,0,0,936344.47,2206834.59,0,0,0,0,0,958746.43,0,656050.08,964449.203,0,0,0,0,0,0,0,634669.01,97359.233,0,766570.75,0,0,190912.65,1236475.22,0,0,1249849.67,1346742.41,0,0,117220.064,578260.59,0,1251011.98,0,1782129.775,0,0,764363.2,0,0,0,0,0,0,1246535.183,0,256454.95,0,0,310900.98,0,0,0,2525098.71,205079.17,0,2576530.612,0,0,0,0,2639261.83,0,8814980.157,0,0,0,0,421147.208,0,0,0,0,0,1113088.19,0,0,0,0,784980.88,0,0,0,5593947.92,936307.447,0,894029.92,0,0,0,168077.53,0,0,0,0,0,0,0,0,1339480.182,0,7591754.64,2674977.42,0,0,61438.43,0,0
01/01/1986,0,2721702.99,4556802.721,0,2004984.92,0,0,0,0,0,183102.73,73909.18,861425.408,0,2006487.28,0,0,0,0,785502.03,0,0,0,452001.04,482541.38,0,1880806.562,0,0,0,835314.11,0,538731.89,0,75104.74,2886704.34,0,0,831639.299,5047188.75,522468.8,0,0,0,0,0,0,0,1191006.18,2281668.47,0,0,0,0,0,848409.29,0,632655.22,294122.522,0,0,0,0,0,0,0,543095.7,93887.386,0,2288055.76,0,0,207282.7,967843.07,0,0,634287,875882.97,0,0,113039.978,557639.72,0,971330.01,0,1273799.058,0,0,797213.94,644217.6871,0,0,0,0,0,942724.12,0,247309.71,0,0,299814.2,0,0,0,3313124.09,197766.01,0,5133751.962,0,0,0,0,3891855.99,0,4111586.56,0,0,0,0,406129.028,0,0,0,0,0,1139721.46,0,3240000,0,0,489339.86,0,0,0,3323409.42,508878.328,0,1444310.37,0,0,0,162083.86,0,0,0,0,0,0,0,0,1527243.303,0,2879947.94,3093834.41,0,0,63202.45,0,0
01/01/1987,0,416441.73,5389864.684,0,1246478.16,0,0,0,0,0,389752.86,76959.7,691483.854,0,1863437.703,0,0,0,0,1922549.89,0,0,0,5379800.13,502457.72,0,724701.08,0,0,0,869790.73,0,560967.42,0,78204.6,3526604.43,0,0,2905783.616,1155585.51,544033.09,0,0,0,0,0,0,0,4246634.04,2123270.31,0,0,0,0,0,648021.35,0,428302.02,598582.159,0,0,0,0,0,0,0,424857.62,97762.479,0,2745789.07,0,0,336057.77,826432.8,0,0,921383.83,676166.33,0,0,948921.009,580655.65,0,892576.5,0,3225641.025,0,0,883184.13,1348814.677,0,0,1625000,0,0,541739.44,0,257517.13,0,0,192435.8,0,0,0,1865092.03,185079.15,0,6996336.992,0,0,0,0,2146992.38,0,4270555.08,0,0,0,0,2592146.384,0,0,0,0,0,1203475.43,0,1024212.272,0,0,460027.62,0,0,0,729030.54,401132.356,0,550147.33,0,0,0,168773.68,0,0,0,0,0,0,0,0,2470073.392,0,4261929.21,2042241.6,0,0,73692.89,0,0
01/01/1988,0,1119722.62,3297892.27,0,436835.06,0,0,0,0,0,424179.72,83757.55,754062.879,0,1193265.3,0,0,0,0,1566075.65,0,0,0,4176701,546839.8,0,788713.91,0,0,0,946619.33,0,1760262.4,0,85112.41,1094520.64,0,0,1444345.532,215992.81,592087.52,0,0,0,0,0,0,0,3269181.81,3054899.46,0,0,0,1787032.967,0,571789.84,0,307568.09,431081.081,0,0,0,0,0,0,0,162608.23,106397.837,0,3244562.42,0,0,365741.75,899431.59,0,0,581795.68,735892.08,0,0,467892.855,631944.95,0,971417.77,0,4849010.993,0,0,2331587.68,2167823.774,0,0,1361211.112,0,0,581374.85,0,280263.63,0,0,71547.62,0,0,0,2127051.96,182808.89,0,1381442.57,0,0,0,0,688016.3,0,1327721.41,0,0,0,0,7824230.06,0,0,0,0,0,1234090.11,0,384434.968,0,0,500661.85,6371428.571,0,0,2337385.51,517920.79,0,598741.83,0,0,0,792773.22,0,0,0,0,0,0,0,0,2344003.569,0,2844363,3111137.97,0,0,80202.19,0,0
